pair_id,product_id_a,product_id_b,title_a,title_b,image_path_a,image_path_b,category_path,brand_token,sku_attrs_a,sku_attrs_b,ocr_text_a,ocr_text_b,label_match,negative_type
pair_0000,pa_0000,pb_0000,anonymized product title A,anonymized product title B,images/a_0000.jpg,images/b_0000.jpg,3c/accessory,brand_13,color=white;size=M;bundle=1,color=beige;size=M;bundle=1,new arrival discount,,0,same_image_sku_conflict
pair_0001,pa_0001,pb_0001,anonymized product title A,anonymized product title B,images/a_0001.jpg,images/b_0001.jpg,apparel/tshirt,brand_12,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,1,random
pair_0002,pa_0002,pb_0002,anonymized product title A,anonymized product title B,images/a_0002.jpg,images/b_0002.jpg,apparel/tshirt,brand_17,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0003,pa_0003,pb_0003,anonymized product title A,anonymized product title B,images/a_0003.jpg,images/b_0003.jpg,apparel/tshirt,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0004,pa_0004,pb_0004,anonymized product title A,anonymized product title B,images/a_0004.jpg,images/b_0004.jpg,beauty/skincare,brand_03,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0005,pa_0005,pb_0005,anonymized product title A,anonymized product title B,images/a_0005.jpg,images/b_0005.jpg,apparel/tshirt,brand_18,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
pair_0006,pa_0006,pb_0006,anonymized product title A,anonymized product title B,images/a_0006.jpg,images/b_0006.jpg,apparel/tshirt,brand_19,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,title_sim_image_diff
pair_0007,pa_0007,pb_0007,anonymized product title A,anonymized product title B,images/a_0007.jpg,images/b_0007.jpg,apparel/tshirt,brand_19,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,random
pair_0008,pa_0008,pb_0008,anonymized product title A,anonymized product title B,images/a_0008.jpg,images/b_0008.jpg,beauty/skincare,brand_02,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,new arrival discount,0,ocr_marketing_noise
pair_0009,pa_0009,pb_0009,anonymized product title A,anonymized product title B,images/a_0009.jpg,images/b_0009.jpg,apparel/tshirt,brand_18,color=white;size=M;bundle=1,color=white;size=M;bundle=1,new arrival discount,,0,same_category_diff_style
